REF_MS;Page_PDF;TITRE_PIECE;TITRE_BRENNER;LANGUE;JOUR;NUM;MOIS;ANNEE;AUTEUR_PIECE;REPR_1;DEPENSES_DIVERSES;Traduction;mot_cles;COUT_DEPENSES_DIVERSES;Dépenses_ordinaires;Instruments;Animaux;Coiffeuse;Picard;Buron;Monsieur_Sticotti;Coffre-fort;Nicolo_et/ou_Villars;Spese_extra;Sconba;Putella;Lista;Chaises;Porteur;Carrosse;Habiller;Menuisier–_De_Lande;Afficheur;Gardes;Souffleur;Lustres;Perruquier;Hommes_ou_enfants_en_plus;Bougies;Arguments;Mances;Danseurs;Pour_le_feu;TOTAL_DEPENSES;DEBIT_DERNIERE_REPR;Column;Recettes_balcon_de_premières_loges;Balcon_deuxièmes_loges;Recettes_balcon_deuxièmes_loges;Billets_premières_loges;Recettes_premières_loges;Billets__secondes_loges;Recettes_deuxièmes_loges;Billets_troisièmes_loges;Recettes_troisièmes_loges;Billets_parterre;Recettes_Parterre;Premières_loges;Recette_Prima_loggia;Seconda_loggia;Recette_Seconda_loggia;Personnalités;Montant_personnalités;Supplément;Montant_Supplément;Paradis;Recettes_Paradis;NB_TOTAL_BILLETS_VENDUS;RECETTES_BILLETS_VENDUS;QUART_PAUVRE;TOTAL_DEPENSES2;DEBIT_INITIAL;RESTE;CREDIT;CREDIT_FINAL_(avanza);R_DEBIT_TOT;R_CREDIT_TOT;Part_des_auteurs;Aparte_in_6_;Aparte_in_9;Aparte_in_12;Aparte_in_12_e_1/4;Aparte_in_12_e_½;Aparte_in_13;Aparte_in_13_¾;Aparte_in_14;Aparte_in_14_¾;Aparte_in_15;Anecdotes;REDACTEURS
TH_OC_10_78;10;Demoni_son_le_Donne;Diables_sont_les_femmes;IT;Domenica;27;Zug°;1717;;23/06/17;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;33;132;28;56;3;4,2;94;94;;;;;;;;;;;161;286,1;71,12,6;120;191,12,6;94,17;286,1;34,17;;;;;;5;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;10;Filga_desubidiente;Fille_désobéissante;IT;Lunedi;28;Zug°;1717;Biancolelli;13/08/16;;;;;120;;;;;;;;;58;;;0,1;;;;;;;;;;;;;;0,1;;;121;;;;;;20;80;22;44;;;59;59;;;;;;;;;;;101;183;45,45;121;166,15;16,05;183;16,05;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;11;Italiano_Francesato;Italien_francisé;IT;Mercordi;30;Zug°;1717;Riccoboni;30/06/17;Caroza_per_andare_da_Mri_di_Robie;;;2;120;;;;;;;;;;;;4,04;;;;;;;;;;;;;;0,1;;;134,14;;;;;;76;304;71;142;23;34,1;289;289;;;;;;;;;;;459;769,1;192,76;134,14;327,12,6;442,6;769,1;82,08;;;;;;30;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;11;Italiano_Francesato;;;;;;;;;Nollo_della_tuelet_e_careghe;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;11;Italiano_Francesato;;;;;;;;;I_giovanini;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;11;Demoni_son_le_Donne;Diables_sont_les_femmes;IT;Giornedi;1;Lug°;1717;;23/06/17;Scordat_eri_sera_per_il_tapiciero_di_otto;;;1;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121;;;;;;35;140;10;20;2;3;82;82;;;;;;;oui;4;;;129;249;62,05;121;183,05;65,15;249;65,15;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;12;Demoni_son_le_Donne;Filles_amoureuses_du_diable;IT;Sabatto;3;Lug°;1717;;23/06/17;;;;;120;;;;;;;;;33;;;1,04;;3,05;22;;;;;;;;;4,18;;;;;184,07;;;;;;77;308;45;90;8;12;307;307;;;;;;;oui;28,1;;;337;745,1;86,70,6;184,7;370,14,6;377,15;745,1;77,15;;;;;;25;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;12;Replica;Imposteur_malgré_lui;IT;Domenica;4;Lug°;1717;Riccoboni;04/07/17;;;;;120;;;;;;;;;;;;1,06;;;;;;;;;;;;;;;;;121,06;;;;;;21;84;51;102;6;9;132;132;;;;;;;;;;;210;327;81,15;121,6;203;123,19;327;63,19;;;;;;5;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;13;Demoni_son_le_Donne;Diables_sont_les_femmes;IT;Lunedi;5;Lug°;1717;;23/06/17;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;42;168;29;58;2;3;133;133;;;;;;;oui;21;;;206;383;99,15;120;215,15;167,05;383;47,05;;;;;;10;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;13;Italiano_Francesato;Italien_francisé;IT;Mercordi;7;Lug°;1717;Riccoboni;30/06/17;Scarpe_y_Giovanino;;;6;120;;;;;;;;;;;;0,13;;;;;;;;;;;;;5;;;;157,11;;;;;;74;296;54;108;4;6;244;244;;;;;;;oui;56;;;376;710;177,1;157,11;335,1;374,19;710;74,19;;;;;;25;;;;;;;;;Alborgheti/Bissoni
